user_id,prod_id,rating,label,date,review,Year,venue
60609,3611,bad,1,7/12/13,"horrible. I went there for a nice fresh lobster dinner, but instead went with the   soft shell crab done w garlic oil, the entire 3 crabs were  completely soaked in some ? sauce that was very watered down and old fishy tasting. then the  rice piao was  old  clumps of  rice with old fishy  seafood and very dry lobster then the  ""fish soup""  5 dollars  was a horror, some thickened  corn starch with extremely  old fish taste no identifiable  fish in it. the  Spanish  antipasto was some sliced up  pieces  of goat cheese, salami and overly soaked asparagus and pepper. I will never go back there 90.00 for 2 and I am sick to my stomach",2013,Don Pepe II
121342,3528,bad,1,7/7/12,"This might be ok for a beer, but don't dare try the food. I pass by often because I work in the area, so decided to go for lunch today and watch part of the Yankee game. I ordered the Fish and Chips and an Ice Tea (Can't drink during work hours). I should have had a clue when they said they are out of ice tea. All I can say is this was the worst food I have ever tasted in New York City. The fries and the fish were dripping and soaked with oil, just plain nasty. I picked through some of this disgusting plate and could not come close to finishing, COMPLETELY INEDIBLE! Their chef should be embarassed to serve such a plate. I would give zero stars if I could. I hope I don't get food poisoning from the portion I ate. And the worst is I spent money and still have to find a place for lunch :(",2012,Rattle ‘N’ Hum
102327,1378,bad,-1,11/17/12,one of the worst place to eat. We have never ate such a bad Indian food ! service and attitude is no good either. Do not waste your money. I will not recommend to anybody.,2012,Green Chilli
108938,4037,bad,1,1/28/13,alfies has ok food. The manager is super nice but the wait staff is mediocre . It seemed as if she didnt want us there. She messed up on all of our drinks and when our food came she never came back to check on us. Everyone i was with (including myself) is in the service industry. she missed out on us ordered more drinks and a what would of been a better tip,2013,Alfie’s
66638,2645,bad,-1,12/3/13,"Love love this place! The food is great! The reason im giving them one star is cause I was there about two Sundays ago with some friends. One of my friend she over heard the young lady saying something like ""I will beat her up"" I thought she was kidding but I kept looking at the girl giving her dirty looks out of no where. If you are going to have that attitude towards the people that walk in there maybe you shouldn't be working here. My friend felt very very uncomfortable so as soon as we got out dinner minutes later we asked our excellent waitress for the check :/ I'm not sure if I would bring my friends here in the future",2013,Buon Appetito
94048,1248,bad,1,6/24/12,"Hartford Pizza's hamburger/cheeseburger subs are the worst I, and my friends, have ever had anywhere. The times we've had it, the burger is broken up into uneven little dry chunks by hand and placed on top of all the lettuce and cheese etc. This is NOT how this sandwich is supposed to be made! The pieces of burger should not be in dry uneven chunks resting on top of everything else in the sandwich; they should be cut into even pieces with a KNIFE after having cheese melted onto the meat while cooking, then toppings placed around this conglomeration, to make it delicious and melty and right! The pizza is pretty good, but it EXTREMELY overpriced. A large pizza is the size of a medium pizza, and is $17.00 with just pepperoni and one vegetable topping. And ours was cut totally uneven, with large pieces on the left and tiny pieces on the right. How hard can it be to make a sandwich or a pizza the right way? And charge an appropriate price? It's really not that hard. This place needs a serious makeover and reality check.",2012,Hartford Pizza
254850,4744,bad,-1,6/26/10,"Today was the last time we will be going to this place and we are heartbroken.  We used to go all the time, even when it was located next to Aroma Thai and Dunking Donuts.   We went today and ordered a Jessica Salad and a Pastrami sandwich - nothing too hard or complicated to prepare not to mention that the place was not full or busy at all.  We got our drinks, ordered our food and then were left waiting for 30 minutes for our waitress, Kathy I think, which looked like she rather be somewhere else than there to come check on us, let us know where our food was or to let us know that she was still around.  My husband had to go to the counter and asked the lady to please check the status or our meal since we were left there for 30 minutes and no food. Mind you, we got there around 12:45 (were seated immediately and Kathy came right way) and left hungry at 1:32.  Just ridiculous but the top of the cake was having our waitress come with an attitude and let us know that it was not her fault and that she put the order on time which we suspect she didn't because the ticket that she showed us had an entry of 1:30.  She quickly recovered by saying that the time printed was the time she printed out the ticket to show us then she goes on and tell us that they had a party going on in their party room and that again it wasn't her fault.  The thing that did it for me was her attitude - NASTY in my opinion.  Never again we will be going here, even if I think they have the best ice cream in NJ.",2010,Confectionately Yours
51268,2129,good,1,8/5/11,"Im gonna give them 4.3 stars for fast food... I had guests who wanted Pollo Inka rather than Pio Pio.  I got the combo and for $20 got a whole chicken, rice, and an avocado salad.  This was cheaper than Pio Pio.  The food was pretty good. I was given my food quickly and the people were very nice to me.  I am told that the green hot sauce is so much better at Pollo Inka.  I took a star off because the Pio Pio to go place is on point with to go condiments.  You get utensils, sauces and even wet naps standard in my experience.  That stuff was not sent from Pollo Inka.  There was just one small salad dressing with a huge salad.  The point of take out is that I dont want to have to make something.   I gave .3 back because they are local and good. If you want loud and proud, go to pio pio.  If you want food and some peace, go to pollo inka.",2011,El Pollo Inka Peru
111482,1545,bad,-1,10/13/12,"I wish this could be a positive review, but I'm afraid the positive points of this establishment are strongly outweighed by negatives. Summary:  The food is average quality for common dishes, with an occasional inedible dish thrown into the mix. The location is terrible. The atmosphere is hole-in-the-wall, slightly ghetto, almost take-out-only. The service is slow but friendly, with a language barrier that complicates ordering. The price is high for what you get.  RATING: D Location As a person who has to drive there, the location of Saffron Place is the single biggest detractor from this establishment. The horrific Park Road location drops the rating down to 2 stars. During dinner pickup time there is NO parking on a very busy street. I had to park in a less-than-legal location on the street in order to quickly grab my order. So, the extra 10 or 15 minute wait inside had me thinking about getting a ticket the entire time. To top it off, during dinner time rush hour traffic I almost got hit twice going to and from the restaurant. People drive crazy in Hartford & West Hartford at that hour. Even if the food was fantastic, I would never go back because of the shockingly poor location and it's associated driving implications. Of course, none of this matters if you're walking there. Food I ordered quite a bit of food for my entire family, totaling $73.51: - 1 chicken tikka masala. Average sauce, with tender pieces of chicken. Small portion. - 1 tandoori chicken. The best entrée of the bunch. Tender, spicy chicken with just the right amount of char. Expensive. - 1 vegetable vindaloo. Very spicy.. and pretty good. Best value. - 1 lamb curry. Average sauce with somewhat hard pieces of lamb. Very small portion. - 2 orders of vegetable samosas. Quite good. Cooked just right. Decent size (2 per order). - 2 orders of basmati rice. Meh.  The basmati flavor was hidden by curry spice, which I didn't order or expect. It was fast-food grade rice. - Mango chutney & hot/spicy sauce.  These spices were tiny for the price. The chutney was quite good, but we could have used 3 times as much for 4 people. - 2 naan bread. Decent. Harder and chewier than most other Indian restaurants. - 2 chapati bread. Missing from the order. - The dinners came with two orders of sweet / sour apple filling (I'm not sure what it's called). The sour flavoring was unappealing to everyone. We threw it out, and I hate throwing out food. Atmosphere The atmosphere is hole-in-the-wall, slightly ghetto, almost take-out-only. If you look at the photo in the Yelp profile, you will see a room with a green wall, a few tables and a cash register. This is the entire restaurant. It's not what I would consider a sit-down restaurant. The place is clean but unappealing, and certainly not a 'date restaurant'.  The cooks and waiter can easily be heard in the back room talking about what is being ordered & cooked. The place smells of burnt oil and, not surprisingly, curry. The busy road immediately outside doesn't help matters. Service I called in my order at 4:25 PM. I showed up at the restaurant at 5:25 PM, but I then waited for 10 minutes for the food to be ready. Way too slow. There were two people ahead of me with much smaller orders. The waiter was friendly and personable. When I got home I found out that some of my order was either the wrong item, missing items, or the wrong number of a particular item. There was some sort of horrific pickled meat included in the order that we had to throw out because it was so unpalatable. The bones included in the dish didn't help. One of the naan breads were missing. And the Chapati bread was completely missing from the order. Interestingly, when the waiter was ringing up my order he had to look up the price of every single item I ordered from their take-out menu, which means he surprisingly did not know any of the prices. It took 3 or 4 minutes for him to do this while I waited. Then, when I gave him the cash and the coupon he did not have more than $20 in singles in the register and no change. After asking if I had coins (I didn't), he had to reach into his pocket to give me the appropriate coinage. Price The total price for the order was $73.51, which was reduced to $43.51 with a $30 Groupon coupon. The price of the basmati/curry rice was very reasonable for $2.50 per aluminum take-out tray.  $2.50 for two tasty samosas is very reasonable, also. Every one of the entrées are all overpriced. $11.50 for 4-5 ounces of mediocre Chicken tikka masala or  4 ounces of curried lamb is outrageous. $17 for a Tandoori chicken leg and half of a chicken breast is quite steep, too.  None of the dishes can feed two people, without ordering extra rice, samosas, or extra bread. The vegetable vindaloo was the best deal of the bunch; one full pint of tasty, spicy veggies for $8.50. Again, for two people you probably want to order extra rice with that. I will never go back to Saffron Place, even with a $30 Groupon coupon.",2012,Saffron Place
219912,3139,bad,1,4/23/12,"Sorry for the one star but the chicken was dry and over cooked.. On the plus side. I thought the 911 sauce was great, the place was clean and the staff was friendly.. but for about a buck a wing they could at least cook them right.. Location was Parsippany I'm 100% sure of that",2012,Cluck U Chicken
